,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Engine,Max Power,Max Torque,Drivetrain,Fuel Tank Capacity,mileage
1353,Mahindra,Xylo D4,325000,2012,70000,Diesel,Manual,Patna,White,Third,2489 cc,,,,55.0,14.95 kmpl
1354,Mahindra,Xylo D4,325000,2012,70000,Diesel,Manual,Patna,White,Third,2489 cc,,,,55.0,14.95 kmpl
1381,Mercedes-Benz,M-Class ML 250 CDI,2250000,2014,85000,Diesel,Automatic,Delhi,White,Second,2143 cc,203,1600 rpm,AWD,70.0,15.26 kmpl
1384,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1385,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1386,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.5 kmpl
1387,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1388,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1389,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1390,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1391,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1392,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1393,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.5 kmpl
1394,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1395,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,,,,,,18.6 kmpl
1399,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1400,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1401,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.5 kmpl
1402,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1403,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1404,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1405,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1406,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1407,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1408,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.5 kmpl
1409,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1410,Hyundai,i20 Asta 1.2,235000,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,1197 cc,,,,45.0,18.6 kmpl
1418,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1419,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1420,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1421,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1422,Hyundai,Accent Executive,400000,2015,41273,Petrol,Manual,Mumbai,White,First,1495 cc,94,3500 rpm,FWD,45.0,16.36 kmpl
1430,Hyundai,i20 Active 1.2 SX,560000,2016,22700,Petrol,Manual,Mumbai,Red,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
1431,Hyundai,i20 Active 1.2 SX,560000,2016,22700,Petrol,Manual,Mumbai,Red,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
1432,Hyundai,i20 Active 1.2 SX,560000,2016,22700,Petrol,Manual,Mumbai,Red,First,1197 cc,82,4000 rpm,FWD,45.0,17.19 kmpl
1440,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1441,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1442,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1443,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1444,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1445,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1446,Honda,City 1.5 S MT,500000,2013,65000,Petrol,Manual,Chennai,Brown,First,1497 cc,116,4800 rpm,FWD,42.0,17.0 kmpl
1485,Volkswagen,Polo GT TDI,325000,2013,76000,Diesel,Manual,Lucknow,White,First,1598 cc,103,1500 rpm,FWD,45.0,15.11 kmpl
1486,Volkswagen,Polo GT TDI,325000,2013,76000,Diesel,Manual,Lucknow,White,First,1598 cc,103,1500 rpm,FWD,45.0,19.7 kmpl
1487,Volkswagen,Polo GT TDI,325000,2013,76000,Diesel,Manual,Lucknow,White,First,1598 cc,103,1500 rpm,FWD,45.0,19.7 kmpl
1498,Toyota,Corolla Altis 1.8 G,375000,2011,77000,Petrol,Manual,Faridabad,Silver,First,1794 cc,,,FWD,55.0,14.28 kmpl
1499,Toyota,Corolla Altis 1.8 G,375000,2011,77000,Petrol,Manual,Faridabad,Silver,First,1794 cc,,,FWD,55.0,14.28 kmpl
1531,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1532,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1533,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1534,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1535,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1536,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1537,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1538,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1539,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1540,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1541,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
1552,BMW,X3 xDrive20d,1950000,2014,82000,Diesel,Automatic,Chandigarh,White,Second,1995 cc,184,1750 rpm,AWD,67.0,16.09 kmpl
1589,Hyundai,Creta 1.6 SX,850000,2016,72000,Diesel,Manual,Ahmedabad,Red,First,1582 cc,126,1900 rpm,FWD,60.0,15.8 kmpl
1590,Hyundai,Creta 1.6 SX,850000,2016,72000,Diesel,Manual,Ahmedabad,Red,First,1582 cc,126,1900 rpm,FWD,60.0,15.8 kmpl
1591,Hyundai,Creta 1.6 SX,850000,2016,72000,Diesel,Manual,Ahmedabad,Red,First,1582 cc,126,1900 rpm,FWD,60.0,15.8 kmpl
1592,Hyundai,Creta 1.6 SX,850000,2016,72000,Diesel,Manual,Ahmedabad,Red,First,1582 cc,126,1900 rpm,FWD,60.0,15.8 kmpl
1623,Toyota,Corolla Altis 1.8 G,390000,2009,68195,Petrol,Manual,Ahmedabad,White,First,1794 cc,,,FWD,55.0,14.28 kmpl
1624,Toyota,Corolla Altis 1.8 G,390000,2009,68195,Petrol,Manual,Ahmedabad,White,First,1794 cc,,,FWD,55.0,14.28 kmpl
1635,BMW,X1 sDrive20i xLine,3990000,2021,12500,Petrol,Automatic,Delhi,White,First,1998 cc,189,1350 rpm,FWD,51.0,15.71 kmpl
1636,BMW,X1 sDrive20i xLine,3990000,2021,12500,Petrol,Automatic,Delhi,White,First,1998 cc,189,1350 rpm,FWD,51.0,15.71 kmpl
1651,Toyota,Etios Liva GD,500000,2016,114000,Diesel,Manual,Ambala Cantt,Grey,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
1656,Toyota,Etios Liva GD,500000,2016,114000,Diesel,Manual,Ambala Cantt,Grey,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
1657,Toyota,Etios Liva GD,500000,2016,114000,Diesel,Manual,Ambala Cantt,Grey,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
1658,Toyota,Etios Liva GD,500000,2016,114000,Diesel,Manual,Ambala Cantt,Grey,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
1660,Toyota,Etios Liva GD,500000,2016,114000,Diesel,Manual,Ambala Cantt,Grey,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
1662,Toyota,Etios Liva GD,500000,2016,114000,Diesel,Manual,Ambala Cantt,Grey,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
1663,Toyota,Etios Liva GD,500000,2016,114000,Diesel,Manual,Ambala Cantt,Grey,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
1664,Toyota,Etios Liva GD,500000,2016,114000,Diesel,Manual,Ambala Cantt,Grey,First,1364 cc,67,1800 rpm,FWD,45.0,23.59 kmpl
1668,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1669,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1670,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1671,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1672,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1673,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1674,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1675,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1676,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1677,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1678,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1679,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1680,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1681,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1682,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1683,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1684,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1685,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1686,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1687,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1688,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1689,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1690,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1691,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1692,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1693,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1694,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1695,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1696,Hyundai,i10 Magna,235000,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,1086 cc,,,FWD,35.0,20.36 kmpl
1699,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1700,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1701,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1702,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1703,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1704,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1705,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1706,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1707,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1708,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1709,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1710,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1711,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1712,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1713,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1714,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1715,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1716,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1717,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1718,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1719,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1720,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1721,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1722,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1723,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1724,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1725,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1726,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1727,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1728,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1729,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1730,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1731,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1732,Lexus,ES 300h,4375000,2017,31059,Petrol,Automatic,Bangalore,Brown,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1736,Hyundai,i20 Active 1.4 S,750000,2017,72000,Diesel,Manual,Chennai,Maroon,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
1761,Mercedes-Benz,M-Class ML 350 CDI,2600000,2014,94000,Diesel,Automatic,Mumbai,White,First,2997 cc,254,1600 rpm,AWD,70.0,11.74 kmpl
1762,Mercedes-Benz,M-Class ML 350 CDI,2600000,2014,94000,Diesel,Automatic,Mumbai,White,First,2997 cc,254,1600 rpm,AWD,70.0,11.74 kmpl
1778,Honda,Jazz V Diesel,525000,2015,68244,Diesel,Manual,Indore,Silver,Second,1498 cc,98,1750 rpm,FWD,40.0,27.3 kmpl
1798,Audi,A3 40 TFSI Premium,1760000,2017,48000,Petrol,Automatic,Delhi,White,First,1798 cc,178,1250 rpm,FWD,50.0,16.6 kmpl
1813,Mercedes-Benz,M-Class ML 250 CDI,2450000,2015,103000,Diesel,Automatic,Mumbai,White,First,2143 cc,203,1600 rpm,AWD,70.0,15.26 kmpl
1856,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1857,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1858,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1859,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1860,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1861,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1862,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1863,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1864,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1865,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1866,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1867,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1868,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1869,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1870,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1871,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1872,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1873,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1874,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1875,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1876,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1877,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1878,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1879,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1880,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1881,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1882,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1883,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1884,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,16.8 kmpl
1897,Lexus,ES 300h,3900000,2017,31059,Petrol,Automatic,Bangalore,Bronze,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1898,Lexus,ES 300h,3900000,2017,31059,Petrol,Automatic,Bangalore,Bronze,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1899,Lexus,ES 300h,3900000,2017,31059,Petrol,Automatic,Bangalore,Bronze,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1900,Lexus,ES 300h,3900000,2017,31059,Petrol,Automatic,Bangalore,Bronze,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1901,Lexus,ES 300h,3900000,2017,31059,Petrol,Automatic,Bangalore,Bronze,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
1902,Lexus,ES 300h,3900000,2017,31059,Petrol,Automatic,Bangalore,Bronze,First,2494 cc,202,4500 rpm,RWD,65.0,22.37 kmpl
